name,date,slice_s_idx,slice_e_idx,start_time,end_time,d_max,d_min,orientation,centroid,area,perimeter,circularity,y0,y1,probe,first_diode_trunc,last_diode_trunc,Category,CA,Co,CC,CBC,CG,HPC,Dif,FA,WD,aspect_ratio
937143_2,220730,937143,937253,19:12:31.643000000,19:12:33.640000000,1083.515182526996,201.10226162331367,-1.5037970004186476,"(11.038860103626943, 56.744170984455955)",154400,2958.1118318204312,4.509953011394925,39,61,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.387881636838761
977110_6,220730,977110,977195,19:16:01.962000000,19:16:01.962000000,825.5269382672077,111.34297692067,1.5487957659391005,"(7.584415584415584, 40.017857142857146)",61600,1961.18795026618,4.968758126305773,115,127,ch_0,0,27,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4142704021231784
990322_1,220730,990322,990752,19:16:07.594000000,19:16:07.703000000,4046.9322327950654,536.1990149751925,-1.532601911338738,"(31.92554211093806, 213.01150113813347)",1669400,12446.639969244288,7.384719121357258,8,67,ch_0,0,0,CC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547444362579253
991702_1,220730,991702,991786,19:16:08.093000000,19:16:09.388000000,850.8214928542878,123.73985354460204,1.566169707011679,"(4.3938931297709924, 42.914503816793896)",65500,2529.055915910216,7.770799416060978,0,11,ch_0,79,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875888959635863
994627_1,220730,994627,994857,19:16:13.272000000,19:16:13.288000000,2266.7304892777943,328.913875487286,-1.4933236865137651,"(21.98468069398302, 125.31912144702842)",541800,5695.218613006978,4.764001985907802,19,60,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8915623760768145
998481_1,220730,998481,998689,19:16:21.650000000,19:16:22.648000000,1961.2746761941528,386.1979983171835,-1.4510423855135484,"(20.958694897605, 100.74852481777161)",576200,6257.584053334072,5.40792009153902,53,98,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.078417507962749
998690_1,220730,998690,998813,19:16:22.648000000,19:16:23.646000000,1233.6959204810391,172.16584279921094,-1.566132787403127,"(6.545279383429673, 59.61078998073218)",155700,3197.695526217004,5.226076251602132,0,15,ch_0,123,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.165741475908446
999333_1,220730,999333,999567,19:17:04.643000000,19:17:14.643000000,2232.9439172298125,399.90476941885015,1.456554179971551,"(21.181970203709334, 132.20462146549104)",657800,5878.944443027283,4.181142593306667,24,71,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583689137978456
999568_1,220730,999568,999777,19:17:14.643000000,19:17:17.638000000,1953.041936923096,285.3937677632836,1.5518802177164603,"(16.51492902594224, 102.96133137542829)",408600,5355.035713374682,5.584914344582225,99,127,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.843323707555601
999778_1,220730,999778,999846,19:17:17.638000000,19:17:18.652000000,657.3864037012283,108.72152770335512,-1.5207055873137985,"(3.9915611814345993, 28.223628691983123)",47400,1604.20310216783,4.320465066598417,0,10,ch_0,68,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.046515511581995
