name,date,slice_s_idx,slice_e_idx,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio
615928_4_30ch0,220730,615928,615933,124.48201014152174,104.40306508910552,114.0175425099138,4000.0,268.6396103067893,1.4357216264042163,ch0,0,0,0,2.35744929746838
83694_1_01ch0,220801,83694,83824,1214.8271941549174,1334.1664064126337,1343.9121995130486,170700.0,3125.269119345812,4.553354424786674,ch0,131,0,0,5.113306739681245
83694_5_01ch0,220801,83694,83715,237.4149190888164,215.870331449229,225.6102834535696,7100.0,504.4974746830583,2.85265847687153,ch0,0,0,0,5.14131980943527
83694_6_01ch0,220801,83694,83711,178.67358438836038,174.6424919657298,184.39088914585773,8300.0,384.4974746830583,1.4174215362972369,ch0,0,0,0,2.7075473042840743
83694_1_01ch0,220801,83694,83824,1214.8271941549174,1334.1664064126337,1343.9121995130486,170700.0,3125.269119345812,4.553354424786674,ch0,131,0,0,5.113306739681245
83694_5_01ch0,220801,83694,83715,237.4149190888164,215.870331449229,225.6102834535696,7100.0,504.4974746830583,2.85265847687153,ch0,0,0,0,5.14131980943527
83694_6_01ch0,220801,83694,83711,178.67358438836038,174.6424919657298,184.39088914585773,8300.0,384.4974746830583,1.4174215362972369,ch0,0,0,0,2.7075473042840743
311709_1_01ch0,220801,311709,311721,151.20730828822118,123.6931687685298,139.2838827718412,4500.0,298.99494936611666,1.5809033754529036,ch0,0,0,0,3.311232990550315
311709_2_01ch0,220801,311709,311723,206.04785779335623,210.95023109728987,219.5449840010015,19400.0,705.9188309203678,2.044080242207704,ch0,0,0,0,1.2925349648070312
323242_1_01ch0,220801,323242,323253,137.3074531891581,111.80339887498948,123.6931687685298,4200.0,274.1421356237309,1.4239424229327071,ch0,0,0,0,3.414159728370488
323242_2_01ch0,220801,323242,323256,214.4287479028605,218.4032966784156,228.0350850198276,22700.0,749.4112549695427,1.968814055789946,ch0,0,0,0,1.4313564228074187
284059_1_02ch0,220802,284059,284069,116.70102883551571,111.80339887498948,120.83045973594572,3400.0,251.06601717798213,1.475322905499292,ch0,0,0,0,2.87653782926865
284059_3_02ch0,220802,284059,284074,240.2031690644552,234.0939982143925,246.98178070456936,27100.0,982.842712474619,2.836539846741288,ch0,0,0,0,1.3935327372154067
206257_1_07ch0,220807,206257,206267,121.98981444069824,107.70329614269008,117.04699910719626,3800.0,250.35533905932735,1.3125632924947308,ch0,0,0,0,2.7956377138032584
206257_2_07ch0,220807,206257,206273,234.94348089366213,246.98178070456936,256.3201123595259,22100.0,890.8326112068523,2.857525249157107,ch0,0,0,0,1.45035653335553
385927_1_07ch0,220807,385927,385937,143.9240580718365,128.06248474865697,136.01470508735443,4100.0,305.208152801713,1.8080004744857625,ch0,0,0,0,3.4103245554790558
385927_2_07ch0,220807,385927,385943,249.6142804620604,256.3201123595259,265.70660511172844,27800.0,1005.2691193458118,2.892744147271594,ch0,0,0,0,1.3728668010650176
745_1_07ch0,220807,745,753,458.8519984845942,496.4876634922564,506.35955604688655,18800.0,998.9949493661164,4.224340061321399,ch0,7,0,0,5.898982123009252
745_2_07ch0,220807,745,755,425.9714809213515,380.0,390.0,4400.0,420.0,3.190333177432993,ch0,0,0,0,33.689935107616265
745_2_07ch0,220807,745,755,130.14562145100393,111.80339887498948,125.29964086141668,5200.0,294.4974746830583,1.3272414687682452,ch0,0,0,0,2.387694452537957
31017_1_07ch0,220807,31017,31045,344.6095782343357,363.45563690772497,374.8332962798263,71200.0,1155.685424949238,1.492758025184226,ch0,0,0,0,1.2741304000342035
31017_2_07ch0,220807,31017,31030,137.88193658277146,139.2838827718412,148.66068747318505,5800.0,304.8528137423857,1.275095045047093,ch0,0,0,0,2.513988284650616
31047_1_07ch0,220807,31047,31125,518.1110759263478,509.9019513592785,521.7278984298232,96500.0,1785.685424949238,2.629497306889728,ch0,45,0,0,2.004254171409144
31047_5_07ch0,220807,31047,31074,332.24857425298023,328.9376840679705,338.3784863137726,45900.0,894.9747468305832,1.3886698701875273,ch0,0,0,0,1.8599303040117128
31047_6_07ch0,220807,31047,31053,137.93783162576122,111.80339887498948,125.29964086141668,3900.0,285.208152801713,1.659775694923903,ch0,0,0,0,3.1246155011129315
31047_1_07ch0,220807,31047,31130,762.8788294102577,832.946576918352,842.9116205154606,111200.0,2588.406204335659,4.794576065035538,ch0,35,0,0,3.603760119832041
264735_1_08ch0,220808,264735,264749,173.7727361776681,145.60219778561037,158.11388300841895,4900.0,350.3553390593274,1.993478408370081,ch0,0,0,0,3.515931341348033
264735_2_08ch0,220808,264735,264752,254.75521988335896,250.79872407968907,262.48809496813374,32900.0,925.269119345812,2.070762892204334,ch0,0,0,0,1.3371361770781396
153954_2_19ch1,220719,153954,153981,493.5516564780613,516.2363799656123,524.7856705360771,58400.0,1541.959594928933,3.2398378612107885,ch1,0,0,0,2.7869980511988857
153954_9_19ch1,220719,153954,153961,121.36238311332988,104.40306508910552,117.04699910719626,5700.0,341.4213562373095,1.6274087497442793,ch1,0,0,0,1.611616963878762
290352_4_19ch1,220719,290352,290379,282.02441975665977,305.28675044947494,313.8470965295043,51300.0,1250.832611206852,2.4270077425633145,ch1,0,0,0,1.1035210619823
290352_5_19ch1,220719,290352,290362,139.7960550090219,108.16653826391968,130.384048104053,3800.0,256.5685424949238,1.3785208955524084,ch1,0,0,0,2.7231213910179948
728867_1_19ch1,220719,728867,728874,148.0619249144649,125.29964086141668,138.92443989449805,4000.0,278.6396103067893,1.5445993679193797,ch1,0,0,0,3.49308914675001
728867_4_19ch1,220719,728867,728883,198.5266184663305,191.049731745428,208.08652046684813,18800.0,998.050865276332,4.216359544935034,ch1,0,0,0,1.2604602640676732
1569592_1_19ch1,220719,1569592,1569603,384.3165329980287,374.8332962798263,384.70768123342685,35600.0,1116.6295090390229,2.7871371458211813,ch1,7,0,0,2.916846545484897
