name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
2173288_5_20ch0,220720,2173288,2173294,33:34.1,33:34.1,147.5345766,110.4536102,123.6931688,3400,306.5685425,2.199714903,ch0,0,0,0,2.175527763,-0.31238684,341.63474,8837.983,249.02925,0.02715255,0.62895125
2193286_1_20ch0,220720,2193286,2193297,33:34.4,33:34.4,149.0177638,136.0147051,148.6606875,10700,601.7766953,2.693252604,ch0,0,0,0,1.178150154,-0.31238684,341.63474,8837.983,249.02925,0.050760705,0.49533427
2193286_7_20ch0,220720,2193286,2193318,33:34.4,33:34.4,357.8247625,368.7817783,380.7886553,75100,1507.46212,2.407925327,ch0,0,0,0,1.271462954,-0.31238684,341.63474,8837.983,249.02925,0.050760705,0.49533427
2343989_1_20ch0,220720,2343989,2344025,33:36.3,33:36.3,425.7271426,427.2001873,435.6604182,84200,1592.964646,2.398227169,ch0,5,0,0,1.610669138,-3.3814383,341.73563,8838.799,249.02202,0.0440234,0.43976763
2343989_3_20ch0,220720,2343989,2344000,33:36.3,33:36.3,178.5163784,177.2004515,186.8154169,14200,494.5584412,1.370683009,ch0,0,0,0,1.697289287,-3.3814383,341.73563,8838.799,249.02202,0.0440234,0.43976763
2378502_1_20ch0,220720,2378502,2378516,33:36.8,33:36.8,161.268668,141.4213562,151.3274595,4200,315.2081528,1.882503227,ch0,0,0,0,3.197998232,-3.854809,341.67798,8837.806,248.86433,0.02238785,0.38638458
2378502_2_20ch0,220720,2378502,2378518,33:36.8,33:36.8,268.3292351,268.3281573,277.3084925,22400,824.2640687,2.413653117,ch0,0,0,0,1.748304252,-3.854809,341.67798,8837.806,248.86433,0.02238785,0.38638458
506362_1_23ch0,220723,506362,506368,00:33.4,00:33.4,133.6494952,108.1665383,116.6190379,3200,252.7817459,1.589028095,ch0,0,0,0,3.208903854,14.64253,486.2294,6136.451,266.56076,0.03211306,0.4176231
506362_2_23ch0,220723,506362,506377,00:33.4,00:33.4,229.0714089,225.6102835,235.3720459,19900,851.8376618,2.901688138,ch0,0,0,0,1.539609557,14.64253,486.2294,6136.451,266.56076,0.03211306,0.4176231
623640_5_23ch0,220723,623640,623649,00:38.3,00:38.3,105.0256892,108.1665383,116.6190379,5500,279.3502884,1.129082548,ch0,0,0,0,1.475753794,16.99597,486.319,6135.8784,266.4537,6.50E-05,0.3764184
